koda,ime,priimek,skupna_uvrstitev,skupno_st_tock,poleti_uvrstitev,poleti_st_tock,drzava,leto,spol
73166,Daiki,Ito,24,294,18,55,JPN,2017,M
104161,Roman,Koudelka,25,223,25,36,CZE,2017,M
140329,Anders,Fannemel,26,213,16,75,NOR,2017,M
147549,Johann Andre,Forfang,27,197,15,79,NOR,2017,M
12274,Jernej,Damjan,28,149,18,55,SLO,2017,M
973,Simon,Ammann,29,147,24,37,SUI,2017,M
73277,Taku,Takeuchi,30,130,40,8,JPN,2017,M
123925,Jan,Ziobro,31,122,27,29,POL,2017,M
73229,Stefan,Hula,32,110,,0,POL,2017,M
162711,Anze,Lanisek,33,98,31,23,SLO,2017,M
106378,Gregor,Schlierenzauer,34,94,34,15,AUT,2017,M
72592,Andreas,Wank,35,90,38,9,GER,2017,M
161594,Vojtech,Stursa,36,88,,0,CZE,2017,M
128788,Markus,Schiffner,37,81,,0,AUT,2017,M
27594,Jakub,Janda,38,80,,0,CZE,2017,M
90236,Denis,Kornilov,39,77,33,17,RUS,2017,M
164621,Cene,Prevc,40,67,41,7,SLO,2017,M
78803,Mackenzie,Boyd-clowes,41,52,,0,CAN,2017,M
128447,Clemens,Aigner,42,50,,0,AUT,2017,M
173399,Kevin,Bickner,42,50,29,28,USA,2017,M
180709,Halvor Egner,Granerud,42,50,37,10,NOR,2017,M
130646,Anze,Semenic,45,41,26,33,SLO,2017,M
71839,Sebastian,Colloredo,46,33,43,3,ITA,2017,M
174572,Viktor,Polasek,47,31,38,9,CZE,2017,M
180727,Tomas,Vancura,47,31,27,29,CZE,2017,M
25074,Lukas,Hlava,49,26,,0,CZE,2017,M
445,Janne,Ahonen,50,24,36,14,FIN,2017,M
136813,Jarkko,Maatta,50,24,,0,FIN,2017,M
167417,Joakim,Aune,52,23,,0,NOR,2017,M
175089,Alex,Insam,53,22,32,22,ITA,2017,M
126003,Junshiro,Kobayashi,54,20,,0,JPN,2017,M
132745,Alexey,Romashov,55,17,,0,RUS,2017,M
108891,Tom,Hilde,56,16,,0,NOR,2017,M
122992,Ville,Larinto,56,16,,0,FIN,2017,M
147499,Stefan,Huber,58,15,43,3,AUT,2017,M
63739,Dmitriy,Vassiliev,58,15,34,15,RUS,2017,M
102371,Davide,Bresadola,60,14,,0,ITA,2017,M
166437,David,Siegel,61,12,,0,GER,2017,M
128456,Kento,Sakuyama,62,9,,0,JPN,2017,M
128281,Aleksander,Zniszczol,62,9,,0,POL,2017,M
124118,Gregor,Deschwanden,64,8,,0,SUI,2017,M
128402,Florian,Altenburger,65,4,,0,AUT,2017,M
120379,Klemens,Muranka,65,4,,0,POL,2017,M
102483,Michael,Glasder,67,3,45,1,USA,2017,M
179422,Bor,Pavlovcic,67,3,,0,SLO,2017,M
148842,Kaarel,Nurmsalu,69,2,45,1,EST,2017,M
156838,Elias,Tollinger,69,2,,0,AUT,2017,M
139429,Daniel,Huber,71,1,,0,AUT,2017,M
182557,Yuken,Iwasa,71,1,,0,JPN,2017,M
148058,Gabriel,Karlen,71,1,,0,SUI,2017,M
182547,Antti,Aalto,,0,,0,FIN,2017,M
147015,Philipp,Aschenwald,,0,,0,AUT,2017,M
171479,Tilen,Bartol,,0,,0,SLO,2017,M
192144,Aleksandr,Bazhenov,,0,,0,RUS,2017,M
118061,Fredrik,Bjerkeengen,,0,,0,NOR,2017,M
192465,Joacim Oedegaard,Bjoereng,,0,,0,NOR,2017,M
81301,Roberto,Dellasega,,0,,0,ITA,2017,M
131935,Nejc,Dezman,,0,,0,SLO,2017,M
171208,Richard,Haukedal,,0,,0,NOR,2017,M
147016,Thomas,Hofer,,0,,0,AUT,2017,M
151263,Fatih Arda,Ipcioglu,,0,,0,TUR,2017,M
94125,Nikolay,Karpenko,,0,,0,KAZ,2017,M
155620,Ryoyu,Kobayashi,,0,,0,JPN,2017,M
134127,CHAPPUIS Ronan,Lamy,,0,,0,FRA,2017,M
180692,Casey,Larson,,0,,0,USA,2017,M
38651,Jan,Matura,,0,,0,CZE,2017,M
136242,Sabirzhan,Muminov,,0,,0,KAZ,2017,M
144610,Mikhail,Nazarov,,0,,0,RUS,2017,M
196315,Eetu,Nousiainen,,0,,0,FIN,2017,M
99976,Pius,Paschke,,0,,0,GER,2017,M
153777,Killian,Peier,,0,,0,SUI,2017,M
167385,William,Rhoads,,0,,0,USA,2017,M
189105,Constantin,Schmid,,0,,0,GER,2017,M
143981,Andreas,Schuler,,0,,0,SUI,2017,M
179178,Sigurd Nymoen,Soeberg,,0,,0,NOR,2017,M
165235,Konstantin,Sokolenko,,0,,0,KAZ,2017,M
196057,Sergey,Tkachenko,,0,,0,KAZ,2017,M
75176,Marat,Zhaparov,,0,,0,KAZ,2017,M
111930,Vladimir,Zografski,,0,,0,BUL,2017,M
73228,Kamil,Stoch,1,1443,2,250,POL,2018,M
128618,Richard,Freitag,2,1070,7,112,GER,2018,M
147547,Daniel Andre,Tande,3,985,5,200,NOR,2018,M
128286,Stefan,Kraft,4,881,4,214,AUT,2018,M
128806,Robert,Johansson,5,840,2,250,NOR,2018,M
174244,Andreas,Wellinger,6,828,26,31,GER,2018,M
147549,Johann Andre,Forfang,7,821,6,142,NOR,2018,M
